Col,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
Seoul,4220082,10124579,4957857,5166722,9857426,4830206,5027220,267153,127651,139502,2.33583755,,1365126,602107,763019
Jongro,73594,164257,80094,84163,154770,75967,78803,9487,4127,5360,2.103024703,,26182,11441,14741
Chung,60412,134593,66337,68256,125709,62253,63456,8884,4084,4800,2.080861418,,21384,9332,12052
Yong,107666,244444,119423,125021,229161,110878,118283,15283,8545,6738,2.12844352,,36882,15489,21393
Seoundong,132902,312711,154077,158634,304808,150368,154440,7903,3709,4194,2.293479406,,41273,17972,23301
Kwang,160798,372298,180645,191653,357703,174414,183289,14595,6231,8364,2.224548813,,43953,19565,24388
DDM,159938,366011,181185,184826,350647,175324,175323,15364,5861,9503,2.192393302,,55718,24655,31063
Chunrang,179132,412780,205125,207655,408226,203325,204901,4554,1800,2754,2.278911641,,59262,26316,32946
Seoungbuk,187112,455407,221103,234304,444055,216556,227499,11352,4547,6805,2.373204284,,66251,28574,37677
Gangbuk,142533,328002,160252,167750,324479,158918,165561,3523,1334,2189,2.27651842,,56530,24311,32219
Dobong,137378,346234,169553,176681,344166,168759,175407,2068,794,1274,2.505248293,,53488,23688,29800
Nowon,217619,558075,271025,287050,554403,269508,284895,3672,1517,2155,2.547585459,,74243,30827,43416
Eun,202839,491202,238223,252979,486794,236353,250441,4408,1870,2538,2.399903372,,74559,32323,42236
Seodae,137266,325028,155250,169778,312800,151144,161656,12228,4106,8122,2.278787172,,49266,20776,28490
Mapo,169408,385783,183248,202535,374915,178939,195976,10868,4309,6559,2.21308911,,49615,20806,28809
Yang,176649,475018,234279,240739,471154,232518,238636,3864,1761,2103,2.667176152,,55234,24641,30593
Kangseo,254257,608255,296175,312080,601691,292989,308702,6564,3186,3378,2.366467787,,76032,33539,42493
Guro,171570,441559,221386,220173,410742,204003,206739,30817,17383,13434,2.394019934,,58794,27117,31677
Geum,106066,253491,129775,123716,235154,119497,115657,18337,10278,8059,2.217053533,,34170,15556,18614
Yeongd,167355,402024,202400,199624,368550,183975,184575,33474,18425,15049,2.202204894,,53981,24376,29605
Dong,172995,408493,198827,209666,396217,193255,202962,12276,5572,6704,2.290337871,,57255,24994,32261
Kwanak,255352,520929,262006,258923,503297,253661,249636,17632,8345,9287,1.970992982,,70046,31523,38523
Seocho,173594,445401,213422,231979,441102,211236,229866,4299,2186,2113,2.540997961,,53205,24135,29070
Gangnam,231612,561052,268941,292111,556164,266442,289722,4888,2499,2389,2.401274545,,65060,29337,35723
Songpa,264628,671173,326407,344766,664496,323147,341349,6677,3260,3417,2.511057031,,76582,35274,41308
Gangdong,177407,440359,218699,221660,436223,216777,219446,4136,1922,2214,2.458882682,,56161,25540,30621
