구분,계,1인가구,2인가구,3인가구,4인가구,5인 가구,6인가구,7인이상 가구
합계,"3,784,705","1,138,860","931,262","816,946","686,469","163,555","37,153","10,460"
종로구,"60,786","22,835","14,974","11,060","8,712","2,397",618,190
중구,"51,503","19,671","13,086","9,453","6,844","1,836",480,133
용산구,"90,164","31,641","23,505","17,580","13,121","3,327",780,210
성동구,"116,401","37,074","28,668","24,655","19,874","4,636","1,164",330
광진구,"146,196","53,169","33,221","28,757","24,040","5,430","1,202",377
동대문구,"145,179","52,650","34,094","27,768","22,627","6,011","1,584",445
중랑구,"157,571","45,717","40,865","34,515","27,503","6,971","1,569",431
성북구,"174,370","54,117","41,498","36,906","31,578","7,791","1,915",565
강북구,"125,580","36,668","33,636","27,243","20,969","5,386","1,294",384
도봉구,"125,384","28,296","33,279","30,449","25,702","5,900","1,375",383
노원구,"204,606","47,641","50,338","49,255","45,404","9,675","1,867",426
은평구,"178,775","44,440","48,170","41,213","33,726","8,626","2,032",568
서대문구,"126,581","43,298","30,769","25,336","20,559","5,042","1,224",353
마포구,"153,610","53,382","37,837","30,533","24,334","5,892","1,268",364
양천구,"163,253","32,878","38,620","41,654","39,182","8,640","1,798",481
강서구,"222,652","60,988","56,504","50,606","42,042","9,837","2,085",590
구로구,"156,671","42,055","39,875","35,273","29,972","7,283","1,723",490
금천구,"93,402","31,728","22,652","19,110","15,034","3,745",864,269
영등포구,"146,904","49,453","35,972","30,397","23,867","5,544","1,306",365
동작구,"159,770","52,954","38,396","32,979","27,152","6,401","1,483",405
관악구,"230,570","103,972","51,679","37,389","28,357","6,997","1,692",484
서초구,"155,051","38,357","37,334","36,130","32,862","8,068","1,728",572
강남구,"208,904","61,998","50,447","45,353","39,694","8,984","1,893",535
송파구,"230,801","54,409","56,203","55,774","50,122","11,184","2,462",647
강동구,"160,021","39,469","39,640","37,558","33,192","7,952","1,747",463
